date,new_cases,new_deaths,new_tests,total_cases,total_deaths,total_tests,population,cases_per_million,deaths_per_million,tests_per_million
2020-06-26,296.0,34.0,28331.0,240151.5,34678.0,2233806.0,60461828.0,3971.952353144202,573.5519607511701,573.5519607511701
2020-06-27,255.0,30.0,29721.0,240406.5,34708.0,2263527.0,60461828.0,3976.1698901991517,574.0481415811643,574.0481415811643
2020-06-28,175.0,8.0,21183.0,240581.5,34716.0,2284710.0,60461828.0,3979.0642783741173,574.1804564691627,574.1804564691627
2020-06-29,174.0,22.0,15484.0,240755.5,34738.0,2300194.0,60461828.0,3981.942127188083,574.5443224111583,574.5443224111583
2020-06-30,126.0,6.0,28471.0,240881.5,34744.0,2328665.0,60461828.0,3984.026086674058,574.6435585771571,574.6435585771571
2020-07-01,142.0,23.0,29325.0,241023.5,34767.0,2357990.0,60461828.0,3986.37467593603,575.0239638801526,575.0239638801526
2020-07-02,182.0,21.0,29147.0,241205.5,34788.0,2387137.0,60461828.0,3989.3848396379944,575.3712904611485,575.3712904611485
2020-07-03,201.0,30.0,25680.0,241406.5,34818.0,2412817.0,60461828.0,3992.709251198955,575.8674712911426,575.8674712911426
2020-07-04,223.0,15.0,28946.0,241629.5,34833.0,2441763.0,60461828.0,3996.3975287019107,576.1155617061396,576.1155617061396
2020-07-05,235.0,21.0,21166.0,241864.5,34854.0,2462929.0,60461828.0,4000.284278536865,576.4628882871355,576.4628882871355
2020-07-06,192.0,7.0,13771.0,242056.5,34861.0,2476700.0,60461828.0,4003.459835848827,576.5786638141341,576.5786638141341
2020-07-07,208.0,8.0,22490.0,242264.5,34869.0,2499190.0,60461828.0,4006.9000229367857,576.7109787021325,576.7109787021325
2020-07-08,137.0,30.0,28679.0,242401.5,34899.0,2527869.0,60461828.0,4009.165915393759,577.2071595321266,577.2071595321266
2020-07-09,193.0,15.0,29947.0,242594.5,34914.0,2557816.0,60461828.0,4012.3580120667207,577.4552499471237,577.4552499471237
2020-07-10,214.0,12.0,27251.0,242808.5,34926.0,2585067.0,60461828.0,4015.8974353206786,577.6537222791213,577.6537222791213
2020-07-11,276.0,12.0,25449.0,243084.5,34938.0,2610516.0,60461828.0,4020.462298956624,577.852194611119,577.852194611119
2020-07-12,188.0,7.0,23061.0,243272.5,34945.0,2633577.0,60461828.0,4023.571698824587,577.9679701381176,577.9679701381176
2020-07-13,234.0,9.0,14006.0,243506.5,34954.0,2647583.0,60461828.0,4027.4419092985413,578.1168243871158,578.1168243871158
2020-07-14,169.0,13.0,24222.0,243675.5,34967.0,2671805.0,60461828.0,4030.237061307508,578.3318360801132,578.3318360801132
2020-07-15,114.0,17.0,28392.0,243789.5,34984.0,2700197.0,60461828.0,4032.1225484614856,578.6130052171098,578.6130052171098
2020-07-16,162.0,13.0,28089.0,243951.5,34997.0,2728286.0,60461828.0,4034.8019249434537,578.8280169101073,578.8280169101073
2020-07-17,230.0,20.0,28661.0,244181.5,35017.0,2756947.0,60461828.0,4038.6059779734082,579.1588041301034,579.1588041301034
2020-07-18,231.0,11.0,27569.0,244412.5,35028.0,2784516.0,60461828.0,4042.4265703643628,579.3407371011012,579.3407371011012
2020-07-19,249.0,14.0,20621.0,244661.5,35042.0,2805137.0,60461828.0,4046.544871253314,579.5722881550985,579.5722881550985
2020-07-20,218.0,3.0,14121.0,244879.5,35045.0,2819258.0,60461828.0,4050.150451951271,579.6219062380978,579.6219062380978
2020-07-21,190.0,13.0,23915.0,245069.5,35058.0,2843173.0,60461828.0,4053.2929305412335,579.8369179310953,579.8369179310953
2020-07-22,128.0,15.0,29288.0,245197.5,35073.0,2872461.0,60461828.0,4055.409968749208,580.0850083460923,580.0850083460923
2020-07-23,280.0,9.0,33018.0,245477.5,35082.0,2905479.0,60461828.0,4060.040989829153,580.2338625950906,580.2338625950906
2020-07-24,306.0,10.0,28970.0,245783.5,35092.0,2934449.0,60461828.0,4065.102034295093,580.3992562050886,580.3992562050886
2020-07-25,252.0,5.0,28059.0,246035.5,35097.0,2962508.0,60461828.0,4069.269953267043,580.4819530100876,580.4819530100876
2020-07-26,274.0,5.0,25177.0,246309.5,35102.0,2987685.0,60461828.0,4073.801738180989,580.5646498150867,580.5646498150867
2020-07-27,254.0,5.0,19374.0,246563.5,35107.0,3007059.0,60461828.0,4078.002735874939,580.6473466200856,580.6473466200856
2020-07-28,168.0,5.0,25341.0,246731.5,35112.0,3032400.0,60461828.0,4080.7813485229062,580.7300434250847,580.7300434250847
2020-07-29,202.0,11.0,30875.0,246933.5,35123.0,3063275.0,60461828.0,4084.1222994448663,580.9119763960825,580.9119763960825
2020-07-30,288.0,6.0,33396.0,247221.5,35129.0,3096671.0,60461828.0,4088.8856354128097,581.0112125620814,581.0112125620814
2020-07-31,382.0,3.0,29686.0,247603.5,35132.0,3126357.0,60461828.0,4095.2036713147345,581.0608306450807,581.0608306450807
2020-08-01,379.0,9.0,31905.0,247982.5,35141.0,3158262.0,60461828.0,4101.47208913366,581.2096848940789,581.2096848940789
2020-08-02,295.0,5.0,24496.0,248277.5,35146.0,3182758.0,60461828.0,4106.351200628602,581.292381699078,581.292381699078
2020-08-03,238.0,8.0,13467.0,248515.5,35154.0,3196225.0,60461828.0,4110.287568546555,581.4246965870764,581.4246965870764
2020-08-04,159.0,12.0,23491.0,248674.5,35166.0,3219716.0,60461828.0,4112.917326945523,581.623168919074,581.623168919074
2020-08-05,190.0,5.0,29739.0,248864.5,35171.0,3249455.0,60461828.0,4116.059805535486,581.7058657240731,581.7058657240731
2020-08-06,384.0,10.0,32169.0,249248.5,35181.0,3281624.0,60461828.0,4122.41092015941,581.871259334071,581.871259334071
2020-08-07,401.0,6.0,30392.0,249649.5,35187.0,3312016.0,60461828.0,4129.0432039203315,581.9704955000699,581.9704955000699
2020-08-08,552.0,3.0,26631.0,250201.5,35190.0,3338647.0,60461828.0,4138.172931192223,582.0201135830694,582.0201135830694
2020-08-09,347.0,13.0,22773.0,250548.5,35203.0,3361420.0,60461828.0,4143.912089459154,582.2351252760667,582.2351252760667
2020-08-10,463.0,2.0,10904.0,251011.5,35205.0,3372324.0,60461828.0,4151.569813602063,582.2682039980664,582.2682039980664
2020-08-11,259.0,4.0,22063.0,251270.5,35209.0,3394387.0,60461828.0,4155.853508101012,582.3343614420655,582.3343614420655
